,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
0,Classic Roast Beef,3.29,154,360,14,37,5,23,arbys
1,Mid Roast Beef,4.29,210,460,20,37,5,33,arbys
2,Max Roast Beef,5.29,267,560,27,38,5,43,arbys
3,Classic Beef 'n Cheddar,3.99,195,450,20,45,9,23,arbys
4,Mid Beef 'n Cheddar,4.99,251,560,27,45,9,33,arbys
5,French Dip & Swiss,4.49,327,540,23,50,3,35,arbys
6,Smokehouse Brisket,5.59,203,600,35,42,7,33,arbys
7,Corned Beef Reuben,4.99,308,680,31,62,5,37,arbys
8,Angus Three Cheese & Bacon,5.59,273,670,34,45,4,47,arbys
9,Angus Philly,5.59,291,620,31,47,4,39,arbys
10,Roast Turkey Ranch & Bacon Sandwich,5.29,344,800,34,79,16,45,arbys
11,Roast Turkey & Swiss Sandwich,4.99,326,710,28,79,15,38,arbys
12,Grand Turkey Club,4.49,233,480,24,37,9,30,arbys
13,Crispy Chicken,3.99,239,500,25,49,6,24,arbys
14,Chicken Bacon & Swiss,4.59,272,610,30,52,9,35,arbys
15,Chicken Cordon Bleu,4.59,247,650,34,49,7,37,arbys
16,Jr. Roast Beef,1.59,87,210,7,24,3,12,arbys
17,Ham Melt,3.99,131,300,8,37,6,18,arbys
18,Jr. Cheddar Melt,1.59,115,230,8,28,6,13,arbys
19,Jr. Bacon Cheddar Melt,2.09,117,280,12,26,4,16,arbys
20,Chicken Slider,1.49,99,290,12,30,1,15,arbys
21,Corned Beef Slider,1.49,91,220,9,21,1,14,arbys
22,Roast Beef Slider,1.49,91,240,11,21,1,14,arbys
23,Jalapeno Roast Beef Slider,1.49,98,240,11,21,1,14,arbys
