,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
1,Whopper Jr. Sandwich,2.19,134,300,16,27,7,9,Burgerking
2,Whopper Sandwich,4.19,270,650,37,50,12,22,Burgerking
3,Original Chicken Sandwich,4.09,100,660,40,48,5,28,Burgerking
4,Supreme Breakfast Sandwich,3.99,312,880,59,45,7,41,Burgerking
5,Tendergrill Chicken Sandwich,4.99,100,460,21,40,6,26,Burgerking
6,Tendercrisp Chicken Sandwich,4.99,100,660,40,50,7,26,Burgerking
7,Hamburger,1,109,230,9,26,6,9,Burgerking
8,Double Cheeseburger,1.69,142,360,19,27,7,16,Burgerking
9,Double Whopper Sandwich,5.29,354,900,56,50,12,35,Burgerking
10,Extra Long BBQ Cheeseburger,3.59,202,590,28,62,14,22,Burgerking
11,Extra Long Buttery Cheeseburger,3.5,227,710,47,46,9,26,Burgerking
12,Extra Long Cheeseburger,3.89,213,580,33,45,9,26,Burgerking
13,Flame Grilled Chicken Burger,3.99,257,480,25,42,10,22,Burgerking
14,A.1. Smoky Bacon Tendercrisp,5.99,281,600,27,57,11,33,Burgerking
15,Bacon & Cheese Tendercrisp,5.99,281,790,51,51,8,33,Burgerking
16,A.1. Ultimate Bacon Cheeseburger,6.29,301,810,49,41,8,53,Burgerking
17,Bacon & Cheese Whopper Sandwich,5.19,289,770,48,47,9,29,Burgerking
18,Bacon Cheeseburger Deluxe,1.69,147,290,14,28,7,12,Burgerking
19,Big Fish Sandwich,3.99,188,520,28,52,7,16,Burgerking
20,BK Veggie Burger,3.29,219,390,16,44,9,21,Burgerking
21,Big King,3.29,198,530,31,38,8,19,Burgerking
22,Cheeseburger,1.19,111,270,12,27,7,11,Burgerking
