,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
36,Single All-Natural Burger,4.99,325,760,44,62,19,31,carls
38,Double All-Natural Burger,7.99,408,1030,64,62,19,54,carls
49,Big Chicken Fillet Sandwich,4.59,300,680,35,62,11,32,carls
101,Spicy Chicken Sandwich,5.55,177,490,29,43,6,14,carls
144,Beer-Battered Cod Fish Sandwich,3.29,284,550,19,74,12,21,carls
154,Charbroiled Chicken Club Sandwich,4.99,264,580,28,46,11,36,carls
159,Charbroiled BBQ Chicken Sandwich,4.79,239,390,28,50,13,30,carls
234,The 1/2 lb. Jalapeno Thickburger,8.15,423,1100,80,55,13,39,carls
235,The 1/2 lb. Guacamole Bacon Thickburger,8.27,443,1210,89,57,14,43,carls
236,The 1/2 lb. Mile High Bacon Thickburger,6.99,437,1230,88,56,14,53,carls
237,The 1/2 lb. Western Bacon Thickburger,6.59,351,1090,69,74,17,44,carls
240,The 1/3 lb. Jalapeno Thickburger,6.49,343,880,58,54,12,28,carls
243,The 1/3 lb. Mile High Bacon Thickburger,5.59,365,1010,67,56,13,42,carls
244,The 1/3 lb. Western Bacon Thickburger,5.29,279,870,47,74,17,33,carls
245,The Big Carl,7.07,321,920,58,56,12,47,carls
246,The Breakfast Burger,4.39,289,800,43,68,13,37,carls
248,Western Bacon Cheeseburger,7.99,245,730,34,74,16,33,carls
249,Turkey Burger,3.69,268,490,22,45,10,29,carls
