,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
49,Big Chicken Fillet Sandwich,4.59,329,750,42,63,11,32,hardees
51,Small Hamburger,1.49,118,280,12,32,7,14,hardees
52,Small Cheeseburger,1.79,131,330,15,32,7,16,hardees
54,Double Cheeseburger,2.49,166,420,22,33,7,25,hardees
101,Spicy Chicken Sandwich,5.55,156,450,24,44,4,13,hardees
103,Loaded Omelet Biscuit,2.99,158,490,28,40,3,18,hardees
109,Monster Biscuit,3.99,237,750,50,40,3,34,hardees
117,Loaded Breakfast Burrito,3.49,212,580,30,46,2,30,hardees
121,Frisco Breakfast Sandwich,3.49,189,450,19,45,5,24,hardees
133,Sausage Biscuit,2.49,126,490,33,37,3,12,hardees
142,1/2 LB Original Thickburger,5.79,424,1030,70,57,16,45,hardees
144,1/3 LB Frisco Thickburger,5.29,300,860,59,46,7,43,hardees
146,1/3 LB Cheeseburger,4.19,256,640,35,55,15,31,hardees
147,1/3 LB Mushroom & Swiss Thickburger,4.79,267,690,40,52,11,34,hardees
148,1/2 LB Frisco Thickburger,6.29,366,1060,75,47,8,56,hardees
149,1/3 LB Original Thickburger,4.59,358,820,53,56,15,32,hardees
150,1/2 LB Mushroom & Swiss Thickburger,6.19,333,890,56,53,12,47,hardees
151,1/2 LB Bacon Cheese Thickburger,6.59,414,1110,76,55,15,53,hardees
153,1/4 LB Little Thick Cheeseburger,2.79,171,450,25,33,8,23,hardees
154,1/4 LB Little Thickburger,3.19,230,600,42,33,8,23,hardees
155,1/3 LB Bacon Cheese Thickburger,5.29,348,900,59,54,13,40,hardees
157,1/2 LB Cheeseburger,5.49,324,850,52,56,16,45,hardees
158,Big Hot Ham 'N' Cheese Sandwich,4.39,240,530,22,50,11,32,hardees
164,Charbroiled BBQ Chicken Sandwich,4.79,220,340,28,42,16,32,hardees
174,Chicken Fillet Biscuit,3.59,173,550,32,47,3,20,hardees
177,Charbroiled Chicken Club Sandwich,5.29,248,590,31,35,9,42,hardees
208,Hot Ham 'N' Cheese Sandwich,5.55,130,290,11,29,5,17,hardees
