,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
0,Ultimate Cheeseburger,4.69,253,840,59,31,5,47,Jack in the box
1,Spicy Sriracha Burger,4.69,247,680,45,38,6,33,Jack in the box
2,Sourdough Jack,4.69,227,700,45,39,7,35,Jack in the box
3,Jack's Spicy Chicken,4.59,232,550,29,48,5,26,Jack in the box
4,Jr. Bacon Cheeseburger,1.49,129,480,31,32,5,19,Jack in the box
5,Jack's Spicy Chicken with Cheese,4.89,255,630,35,49,5,30,Jack in the box
6,Jr. Jack,1.39,150,420,26,33,6,14,Jack in the box
7,Jumbo Jack,2.59,223,520,33,32,6,23,Jack in the box
8,Jumbo Jack Cheeseburger,3.19,245,600,40,33,6,28,Jack in the box
9,Double Jack,4.79,319,830,58,34,7,46,Jack in the box
10,Bacon & Swiss Buttery Jack,5.09,240,890,59,48,11,42,Jack in the box
11,Bacon Ultimate Cheeseburger,5.09,272,930,65,32,6,55,Jack in the box
12,Big Cheeseburger,2.49,159,540,37,30,5,25,Jack in the box
13,Breakfast Jack,1.59,132,350,18,30,4,16,Jack in the box
14,Classic Buttery Jack,4.79,296,820,52,50,12,37,Jack in the box
15,Sourdough Grilled Chicken Club,4.99,266,580,30,38,6,39,Jack in the box
16,Homestyle Ranch Chicken Club,4.99,250,710,33,66,12,40,Jack in the box
