,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
0,Steakhouse Sirloin Third Pound Burger,4.99,275,730,36,62,10,39,McDonald
1,Southern Style Buttermilk Crispy Chicken Sandwich,4.39,162,470,21,46,5,25,McDonald
2,Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,5.79,269,490,29,26,4,34,McDonald
3,Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,4.49,286,790,40,67,15,40,McDonald
4,Premium Buttermilk Crispy Chicken Deluxe Sandwich,4.39,230,580,24,62,11,29,McDonald
5,Quarter Pounder with Cheese,3.79,207,540,28,42,10,31,McDonald
7,Lettuce & Tomato Sirloin Third Pound Burger,4.99,309,750,39,62,10,39,McDonald
8,Double Quarter Pounder with Cheese,4.79,292,780,45,43,10,50,McDonald
9,Big Mac,3.99,213,540,28,47,9,25,McDonald
10,BBQ Ranch Burger,2.99,113,350,15,37,7,15,McDonald
11,Hamburger,2.49,99,250,8,32,6,12,McDonald
12,Filet-O-Fish,3.79,142,390,19,39,5,15,McDonald
14,Artisan Grilled Chicken Sandwich,4.39,204,360,6,43,11,32,McDonald
15,Bacon Clubhouse Burger,4.49,275,740,41,51,14,40,McDonald
16,Double Cheeseburger,1.69,162,440,22,35,7,25,McDonald
17,Cheeseburger,1,113,300,12,33,7,15,McDonald
