,menu,price,serving size,calories,fat,carbo,sugar,protein,brand
0,Whataburger,3.09,316,590,25,62,12,29,whataburger
1,Double Meat Whataburger,4.59,400,830,44,62,12,47,whataburger
2,Triple Meat Whataburger,6.09,484,1080,63,62,12,65,whataburger
3,Jalapeno & Cheese Whataburger,4.09,352,680,32,63,12,34,whataburger
4,Bacon & Cheese Whataburger,4.79,352,740,36,62,12,38,whataburger
5,Double Meat Whataburger Jr.,3.09,208,420,20,37,6,23,whataburger
6,Whataburger Jr.,2.19,168,310,11,37,6,14,whataburger
7,Chop House Cheddar Burger (Limited Time),5.39,371,1100,69,61,12,60,whataburger
8,Whatachick'n Sandwich,3.94,281,560,27,62,13,26,whataburger
9,Grilled Chicken Sandwich,3.94,278,430,13,49,13,35,whataburger
10,Grilled Chicken Sandwich,3.94,278,430,13,49,13,35,whataburger
11,A.1. Thick & Hearty Burger,5.39,360,980,54,68,18,54,whataburger
12,Monterey Melt,5.39,399,1090,68,62,12,54,whataburger
13,Honey BBQ Chicken Strip Sandwich,5.39,201,870,39,90,17,38,whataburger
14,Justaburger,3.19,117,300,11,35,5,14,whataburger
15,Grilled Cheese,3.39,142,510,29,44,5,16,whataburger
16,Bacon & Cheese Whataburger Jr.,3.39,192,420,21,37,6,19,whataburger
17,Double Meat Whataburger Jr. with Cheese,3.49,223,490,26,37,6,26,whataburger
18,Whatacatch Sandwich,3.59,190,490,22,55,6,17,whataburger
